match_id,defending_team,home_away,defender_id,defender_name,overall_n,overall_avg_x,overall_avg_y,raw_involvement_n,raw_involvement_avg_x,raw_involvement_avg_y,raw_contribution_n,raw_contribution_avg_x,raw_contribution_avg_y,raw_fault_n,raw_fault_avg_x,raw_fault_avg_y,valued_involvement_n,valued_involvement_avg_x,valued_involvement_avg_y,valued_contribution_n,valued_contribution_avg_x,valued_contribution_avg_y,valued_fault_n,valued_fault_avg_x,valued_fault_avg_y
10516,371,home,8136,Ivan Perisic,198,-7.69930303,17.76930303,33,-10.04124242,22.833,15,-8.121666667,21.6088,18,-11.64088889,23.85316667,33,-10.04124242,22.833,15,-8.121666667,21.6088,18,-11.64088889,23.85316667
10516,371,home,8330,Mario Pasalic,58,3.676017241,2.973310345,9,-3.656,8.279888889,4,3.567,4.44875,5,-9.4344,11.3448,9,-3.656,8.279888889,4,3.567,4.44875,5,-9.4344,11.3448
10516,374,away,12586,Sofyan Amrabat,217,9.156691244,0.414147465,51,11.87376471,4.733941176,18,11.23638889,3.2665,33,12.22142424,5.534363636,49,11.59834694,4.705938776,18,11.23638889,3.2665,31,11.80851613,5.541741935
10516,374,away,12777,Abdelhamid Sabiri,119,6.535210084,-3.679907563,26,5.877423077,-8.918076923,11,12.37490909,-8.716363636,15,1.1126,-9.066,26,5.877423077,-8.918076923,11,12.37490909,-8.716363636,15,1.1126,-9.066
10516,374,away,13044,Jawad El Yamiq,159,8.014238994,2.762559748,40,5.055025,4.223475,16,4.6999375,4.31625,24,5.29175,4.161625,37,3.59872973,4.141756757,16,4.6999375,4.31625,21,2.759714286,4.008809524
10516,374,away,13560,Anass Zaroury,60,-7.658883333,-3.963066667,11,-19.69590909,-7.610727273,4,-25.74375,-7.79825,7,-16.24,-7.503571429,11,-19.69590909,-7.610727273,4,-25.74375,-7.79825,7,-16.24,-7.503571429
10516,374,away,13864,Yahia Attiat-Allah,217,10.62598618,-15.71211982,31,14.83983871,-21.40458065,17,15.39217647,-23.29288235,14,14.16914286,-19.11164286,30,14.69896667,-21.5011,17,15.39217647,-23.29288235,13,13.79246154,-19.158
10516,374,away,13865,Badr Benoun,60,10.90293333,5.952883333,12,14.75558333,13.66741667,2,23.859,0.16,10,12.9349,16.3689,12,14.75558333,13.66741667,2,23.859,0.16,10,12.9349,16.3689
10516,374,away,13866,Selim Amallah,58,0.368258621,-0.322068966,24,1.342,-2.065958333,9,-1.204,-11.46022222,15,2.8696,3.5706,24,1.342,-2.065958333,9,-1.204,-11.46022222,15,2.8696,3.5706
10516,374,away,13867,Bilal El Khannouss,145,2.838468966,0.114937931,45,2.7012,7.5212,16,1.041875,6.9438125,29,3.616689655,7.839758621,41,0.951292683,7.925829268,16,1.041875,6.9438125,25,0.89332,8.55432
10516,374,away,1681,Achraf Hakimi,217,8.447447005,15.61519816,48,10.64620833,21.06583333,19,12.80036842,22.75784211,29,9.234862069,19.95727586,46,11.27373913,20.91608696,19,12.80036842,22.75784211,27,10.19944444,19.62003704
10516,374,away,1785,Bono,217,37.9477788,0.003907834,1,49.967,2.028,,,,1,49.967,2.028,1,49.967,2.028,,,,1,49.967,2.028
