match_id,defender_id,defender_name,passes_against_on_field
3842,8050,Alex Sandro,455
3842,8328,Remo Freuler,562
3842,8397,Fabian Rieder,385
3842,8416,Michel Aebischer,99
3841,12502,Min Jae Kim,316
3841,1257,In-beom Hwang,324
3841,1363,Inaki Williams,545
3841,1380,Thomas Partey,545
3841,13907,Seun-gyu Kim,324
3841,13910,Kyung-won Kwon,8
3841,13911,Young-gwon Kim,324
3841,13912,Jin-su Kim,324
3841,13917,Chang-hoon Kwon,230
3841,13918,Sang-ho Na,133
3841,13922,Woo-young Jung,284
3841,13923,Gue-sung Cho,324
3841,14034,Lawrence Ati Zigi,545
3841,14040,Andre Ayew,432
3841,1830,Kang-in Lee,94
3841,1910,Mohammed Salisu,545
3841,1975,Denis Odoi,113
3841,213,Daniel Amartey,545
3841,2443,Moon-hwan Kim,324
3841,4020,Kamaldeen Sulemana,113
3841,4231,Alexander Djiku,105
3841,4265,Gideon Mensah,458
3841,4280,Ui-jo Hwang,40
3841,4408,Salis Abdul Samed,545
3841,444,Tariq Lamptey,432
3841,4795,Woo-yeong Jeong,191
3841,483,Jordan Ayew,432
3841,5085,Abdul Rahman Baba,87
3841,8031,Mohammed Kudus,440
3841,83,Heung-min Son,324
3841,9980,Daniel-Kofi Kyereh,113
3840,1168,Nouhou Tolo,522
3840,12561,Sergej Milinković-Savić,304
3840,12576,Nikola Milenkovic,367
3840,12640,Martin Hongla,287
3840,12653,Vanja Milinković-Savić,367
3840,12664,Saša Lukić,367
3840,12776,Filip Djuricic,15
3840,13151,Srdjan Babic,63
3840,13216,Stefan Mitrović,149
3840,13871,Devis Epassy,522
3840,13872,Collins Fai,522
3840,13873,Pierre Kunde,342
3840,13874,Samuel Oum Gouet,95
3840,13875,Vincent Aboubakar,235
3840,13876,Christian Bassogog,180
3840,13906,Andrija Zivkovic,304
3840,1550,Nemanja Maksimovic,367
3840,1957,Marko Grujic,63
3840,1977,André Zambo Anguissa,427
3840,1991,Aleksandar Mitrovic,367
3840,3880,Strahinja Pavlovic,218
3840,3934,Karl Toko Ekambi,342
3840,3989,Nemanja Radonjic,63
3840,4174,Jean-Charles Castelletto,522
3840,4626,Eric Maxim Choupo-Moting,522
